"doc_id","topic_1","topic_2","topic_3","Year","Issue","Title","Author","Gender"
1,20,10,12,1942,"1","Священная Римская Империя в представлении публицистов начала XIV века","Грабарь","м"
2,13,15,2,1942,"1","О разделах земель у бургундов и у вестготов","Грацианский","м"
3,7,3,26,1942,"1","Английское крестьянство в XIII веке","Косминский","м"
4,15,1,25,1942,"1","О.А. Добиаш-Рождественская как историк","Люблинская","ж"
5,1,11,10,1942,"1","Хронологические выписки Маркса","Мосина","ж"
6,15,29,1,1942,"1","Общественный строй лангобардов в VI-VII веках","Неусыхин","м"
7,24,8,1,1942,"1","Манориальные источники средств производства в хозяйстве Глостерского аббатства","Полянский","м"
8,1,7,22,1942,"1","Из истории восстания Босоногих в Нормандии в 1539 г.","Поршнев","м"
9,1,19,7,1942,"1","Traite des reliques Кальвина, его происхождение и значение","Радциг","м"
10,1,3,15,1942,"1","Задачи советской исторической науки в области изучения средних веков","Редколлегия","—"
11,1,15,13,1942,"1","Огораживания в Англии конца XV-начала XVI века","Семенов","м"
12,1,17,29,1942,"1","Февдист Эрве и его учение о цензиве","Сказкин","м"
13,18,11,1,1942,"1","Томас Мюнцер в первые годы Реформации","Смирин","м"
14,26,7,16,1946,"2","Движение клубменов в эпоху Английской революции","Архангельский","м"
15,1,18,9,1946,"2","Д.М. Петрушевский и русские историки","Бахрушин","м"
16,7,1,16,1946,"2","Пятьдесят лет дружбы с Д.М. Петрушевским","Виппер","м"
17,5,1,25,1946,"2","Социальные идеи Евангелия от Луки","Виппер","м"
18,1,15,18,1946,"2","Вселенские соборы Западно-христианской церкви","Грабарь","м"
19,1,15,13,1946,"2","К вопросу о происхождении и содержании франкского иммунитета","Граменицкий","м"
20,1,13,20,1946,"2","К толкованию термина Villa в Салической правде","Грацианский","м"
21,1,11,10,1946,"2","Сельская община в Галицкой Руси и Польше","Греков","м"
22,1,30,7,1946,"2","Экономические взгляды Бодена","Коган-Бернштейн","ж"
23,20,1,17,1946,"2","Дмитрий Моисеевич Петрушевский","Косминский","м"
24,1,11,5,1946,"2","Лавровский История манора Брамптона в XI - XVIII вв","Косминский","м"
25,16,1,30,1946,"2","Дмитрий Моисеевич Петрушевский. Указатель трудов и важнейших дат","Крушинская","ж"
26,23,1,5,1946,"2","Д.М. Петрушевский и его перевод поэмы Лэнглэнда","Лавровский","м"
27,8,10,21,1946,"2","Д.М. Петрушевский как историк Римской Империи","Машкин","м"
28,1,4,19,1946,"2","Каролингский иммунитет","Михаловская","ж"
29,11,1,19,1946,"2","Дмитрий Моисеевич Петрушевский (опыт характеристики)","Неусыхин","м"
30,5,18,11,1946,"2","Понятие свободы в эдикте Ротари","Неусыхин","м"
31,2,1,15,1946,"2","Народные восстания во Франции при Кольбере","Поршнев","м"
32,18,8,1,1946,"2","Этьенн де Лабоэси - предшественник монархомахов-тираноборцев XVI века","Радциг","м"
33,1,4,11,1946,"2","Исторические взгляды Комина","Рогинская","ж"
34,1,15,8,1946,"2","Восстание Уота Тайлера в исторической литературе","Семенов","м"
35,18,11,20,1946,"2","Томас Мюнцер и учение Иоахима Флорского","Смирин","м"
36,16,2,22,1946,"2","Д.М. Петрушевский как историк средневекового города","Стоклицкая-Терешкович","ж"
37,10,12,11,1946,"2","К вопросу о судьбе латинской образованности в варварских королевствах","Фортунатов","м"
38,15,28,2,1951,"3","Положение крестьянства и крестьянские движения в Южной Италии в XII-XIII веках","Абрамсон","ж"
39,23,28,7,1951,"3","Борьба крестьян пригородного манора Гориси в XVII веке","Архангельский","м"
40,18,8,1,1951,"3","К вопросу об иммунитете в Англии XIII века","Гутнова","ж"
41,29,15,17,1951,"3","Восстание Камизаров","Коробочко","м"
42,12,1,10,1951,"3","Проблема раннего феодального города в Англии и Книга страшного суда","Левицкий","м"
43,5,23,19,1951,"3","Английская республика, французская Фронда и Вестфальский мир","Поршнев","м"
44,7,1,26,1951,"3","Труд И.В. Сталина и задачи советской медиевистики","Редколлегия","—"
45,18,1,8,1951,"3","Зарождение городской культуры во Франции","Сидорова","ж"
46,5,1,13,1951,"3","Реформация императора Сигизмунда","Смирин","м"
47,26,7,9,1951,"3","Проблема многообразия средневекового цеха на Западе и на Руси","Стоклицкая-Терешкович","ж"
48,15,17,12,1951,"3","Борьба партий в Пелопоннесе во время турецкого завоевания","Удальцова","ж"
49,15,29,25,1951,"3","К вопросу о роли народных движений в Нидерландской революции","Чистозвонов","м"
50,22,10,21,1953,"4","Передовой русский медиевист Т.Н. Грановский","Асиновская","ж"
51,20,17,1,1953,"4","Кто такие бордарии Книги страшного суда","Барг","м"
52,5,1,11,1953,"4","Роль королевских пожалований в процессе феодального подчинения английского крестьянства","Гуревич","м"
53,1,15,5,1953,"4","Городское представительство в английском Парламенте конца XIII и начала XIV века","Гутнова","ж"
54,12,10,1,1953,"4","Рабы и вольноотпущенники в вестготском государстве VI-VII веков","Корсунский","м"
55,30,10,25,1953,"4","Из истории борьбы французского народа за национальное государство","Мосина","ж"
56,14,10,25,1953,"4","Структура общины в Южной и Юго-западной Германии в VIII-XI веках","Неусыхин","м"
57,4,1,12,1953,"4","Задачи советской медиевистики","Редколлегия","—"
58,16,8,4,1953,"4","Восстание обездоленных в Сиене в 1371 г.","Рутенбург","м"
59,1,18,22,1953,"4","О классовой сущности политических взглядов Гаррингтона","Сапрыкин","м"
60,23,19,16,1953,"4","Пауперизм в Англии XVI века и законодательство Тюдоров по вопросу о пауперах","Семенов","м"
61,1,20,25,1953,"4","Народные еретические движения во Франции в XI и XII веках","Сидорова","ж"
62,15,2,29,1953,"4","Крестьянские движения в период Нидерландской революции","Чистозвонов","м"
63,15,29,10,1954,"5","О некоторых особенностях развития феодальных отношений в Южной Италии","Абрамсон","ж"
64,11,8,20,1954,"5","В.Г. Белинский и А.И. Герцен о некоторых проблемах западноевропейского средневековья","Асиновская","ж"
65,15,29,2,1954,"5","Английская революция и судьбы крестьянского землевладения","Барг","м"
66,11,1,23,1954,"5","Мировоззрение Арнольда Брешианского","Бортник","м"
67,20,11,10,1954,"5","Франконский город в крестьянской войне 1525 г","Ермолаев","м"
68,1,15,29,1954,"5","Об исторических условиях возникновения так называемого готического письма","Луизова","ж"
69,16,12,4,1954,"5","Структура общины в Южной и Юго-западной Германии","Неусыхин","м"
70,30,1,23,1954,"5","Феодальная реакция в Австрии во второй половине XVI в","Самохина","ж"
