article_id,Author,Gender
1,Грабарь,м
2,Грацианский,м
3,Косминский,м
4,Люблинская,ж
5,Мосина,ж
6,Неусыхин,м
7,Полянский,м
8,Поршнев,м
9,Радциг,м
10,Редколлегия,—
11,Семенов,м
12,Сказкин,м
13,Смирин,м
14,Архангельский,м
15,Бахрушин,м
16,Виппер,м
17,Виппер,м
18,Грабарь,м
19,Граменицкий,м
20,Грацианский,м
21,Греков,м
22,Коган-Бернштейн,ж
23,Косминский,м
24,Косминский,м
25,Крушинская,ж
26,Лавровский,м
27,Машкин,м
28,Михаловская,ж
29,Неусыхин,м
30,Неусыхин,м
31,Поршнев,м
32,Радциг,м
33,Рогинская,ж
34,Семенов,м
35,Смирин,м
36,Стоклицкая-Терешкович,ж
37,Фортунатов,м
38,Абрамсон,ж
39,Архангельский,м
40,Гутнова,ж
41,Коробочко,м
42,Левицкий,м
43,Поршнев,м
44,Редколлегия,—
45,Сидорова,ж
46,Смирин,м
47,Стоклицкая-Терешкович,ж
48,Удальцова,ж
49,Чистозвонов,м
50,Асиновская,ж
51,Барг,м
52,Гуревич,м
53,Гутнова,ж
54,Корсунский,м
55,Мосина,ж
56,Неусыхин,м
57,Редколлегия,—
58,Рутенбург,м
59,Сапрыкин,м
60,Семенов,м
61,Сидорова,ж
62,Чистозвонов,м
63,Абрамсон,ж
64,Асиновская,ж
65,Барг,м
66,Бортник,м
67,Ермолаев,м
68,Луизова,ж
69,Неусыхин,м
70,Самохина,ж
71,Сапрыкин,м
72,Сказкин,м
73,Соколов,м
74,Стоклицкая-Терешкович,ж
75,Чистозвонов,м
76,Авдеева,ж
77,Архангельский,м
78,Баткин,м
79,Бороздин,м
80,Воронова,ж
81,Данилов,м
82,Кан,м
83,Котельникова,ж
84,Левен,м
85,Лесохина,ж
86,Неусыхин,м
87,Осинова,ж
88,Павлушкова,ж
89,Похилевич,м
90,Редколлегия,—
91,Рутенбург,м
92,Семенов,м
93,Соколова,ж
94,Чистозвонов,м
95,Брагина,ж
96,Бушмакин,м
97,Гордеев,м
98,Гуревич,м
99,Заборов,м
100,Карасс,ж
101,Керов,м
102,Лесников,м
103,Мещерякова,ж
104,Мильская,ж
105,Молдавская,ж
106,Покровская,ж
107,Соколов,м
108,Стародубец,?
109,Фролова,ж
110,Хилтон,м
111,Барг,м
112,Гуревич,м
113,Гутнова,ж
114,Гутнова,ж
115,Данилов,м
116,Заборов,м
117,Коган-Бернштейн,ж
118,Лавровский,м
119,Левицкий,м
120,Литаврин,м
121,Лозинский,м
122,Майер,м
123,Неусыхин,м
124,Поршнев,м
125,Редколлегия,—
126,Ролова,ж
127,Сапрыкин,м
128,Серовайский,м
129,Сидорова,ж
130,Сказкин,м
131,Смирин,м
132,Смирин,м
133,Татаринова,ж
134,Удальцова,ж
135,Чистозвонов,м
136,Бессмертный,м
137,Бортник,м
138,Гольдшмидт,ж
139,Громыко,ж
140,Гутнова,ж
141,Конокотин,м
142,Корсунский,м
143,Котельникова,ж
144,Молдавская,ж
145,Эпштейн,м
146,Барг,м
147,Гуревич,м
148,Гутнова,ж
149,Данилов,м
150,Кан,м
151,Колесницкий,м
152,Сапрыкин,м
153,Сидорова,ж
154,Барг,м
155,Баткин,м
156,Бернадская,ж
157,Бессмертный,м
158,Гуревич,м
159,"Киселева, Люблинская",—
160,Рыськин,м
161,Сказкин,м
162,Брагина,ж
163,"Воронова, Гурари, Люблинская",—
164,Гутнова,ж
165,Соколова,ж
