"","article_id","Year","Issue","Title","Author","Gender"
"1",1,"1942","1","Священная Римская Империя в представлении публицистов начала XIV века","Грабарь","м"
"2",2,"1942","1","О разделах земель у бургундов и у вестготов","Грацианский","м"
"3",3,"1942","1","Английское крестьянство в XIII веке","Косминский","м"
"4",4,"1942","1","О.А. Добиаш-Рождественская как историк","Люблинская","ж"
"5",5,"1942","1","Хронологические выписки Маркса","Мосина","ж"
"6",6,"1942","1","Общественный строй лангобардов в VI-VII веках","Неусыхин","м"
"7",7,"1942","1","Манориальные источники средств производства в хозяйстве Глостерского аббатства","Полянский","м"
"8",8,"1942","1","Из истории восстания Босоногих в Нормандии в 1539 г.","Поршнев","м"
"9",9,"1942","1","Traite des reliques Кальвина, его происхождение и значение","Радциг","м"
"10",10,"1942","1","Задачи советской исторической науки в области изучения средних веков","Редколлегия","—"
"11",11,"1942","1","Огораживания в Англии конца XV-начала XVI века","Семенов","м"
"12",12,"1942","1","Февдист Эрве и его учение о цензиве","Сказкин","м"
"13",13,"1942","1","Томас Мюнцер в первые годы Реформации","Смирин","м"
"14",14,"1946","2","Движение клубменов в эпоху Английской революции","Архангельский","м"
"15",15,"1946","2","Д.М. Петрушевский и русские историки","Бахрушин","м"
"16",16,"1946","2","Пятьдесят лет дружбы с Д.М. Петрушевским","Виппер","м"
"17",17,"1946","2","Социальные идеи Евангелия от Луки","Виппер","м"
"18",18,"1946","2","Вселенские соборы Западно-христианской церкви","Грабарь","м"
"19",19,"1946","2","К вопросу о происхождении и содержании франкского иммунитета","Граменицкий","м"
"20",20,"1946","2","К толкованию термина Villa в Салической правде","Грацианский","м"
"21",21,"1946","2","Сельская община в Галицкой Руси и Польше","Греков","м"
"22",22,"1946","2","Экономические взгляды Бодена","Коган-Бернштейн","ж"
"23",23,"1946","2","Дмитрий Моисеевич Петрушевский","Косминский","м"
"24",24,"1946","2","Лавровский История манора Брамптона в XI - XVIII вв","Косминский","м"
"25",25,"1946","2","Дмитрий Моисеевич Петрушевский. Указатель трудов и важнейших дат","Крушинская","ж"
"26",26,"1946","2","Д.М. Петрушевский и его перевод поэмы Лэнглэнда","Лавровский","м"
"27",27,"1946","2","Д.М. Петрушевский как историк Римской Империи","Машкин","м"
"28",28,"1946","2","Каролингский иммунитет","Михаловская","ж"
"29",29,"1946","2","Дмитрий Моисеевич Петрушевский (опыт характеристики)","Неусыхин","м"
"30",30,"1946","2","Понятие свободы в эдикте Ротари","Неусыхин","м"
"31",31,"1946","2","Народные восстания во Франции при Кольбере","Поршнев","м"
"32",32,"1946","2","Этьенн де Лабоэси - предшественник монархомахов-тираноборцев XVI века","Радциг","м"
"33",33,"1946","2","Исторические взгляды Комина","Рогинская","ж"
"34",34,"1946","2","Восстание Уота Тайлера в исторической литературе","Семенов","м"
"35",35,"1946","2","Томас Мюнцер и учение Иоахима Флорского","Смирин","м"
"36",36,"1946","2","Д.М. Петрушевский как историк средневекового города","Стоклицкая-Терешкович","ж"
"37",37,"1946","2","К вопросу о судьбе латинской образованности в варварских королевствах","Фортунатов","м"
"38",38,"1951","3","Положение крестьянства и крестьянские движения в Южной Италии в XII-XIII веках","Абрамсон","ж"
"39",39,"1951","3","Борьба крестьян пригородного манора Гориси в XVII веке","Архангельский","м"
"40",40,"1951","3","К вопросу об иммунитете в Англии XIII века","Гутнова","ж"
"41",41,"1951","3","Восстание Камизаров","Коробочко","м"
"42",42,"1951","3","Проблема раннего феодального города в Англии и Книга страшного суда","Левицкий","м"
"43",43,"1951","3","Английская республика, французская Фронда и Вестфальский мир","Поршнев","м"
"44",44,"1951","3","Труд И.В. Сталина и задачи советской медиевистики","Редколлегия","—"
"45",45,"1951","3","Зарождение городской культуры во Франции","Сидорова","ж"
"46",46,"1951","3","Реформация императора Сигизмунда","Смирин","м"
"47",47,"1951","3","Проблема многообразия средневекового цеха на Западе и на Руси","Стоклицкая-Терешкович","ж"
"48",48,"1951","3","Борьба партий в Пелопоннесе во время турецкого завоевания","Удальцова","ж"
"49",49,"1951","3","К вопросу о роли народных движений в Нидерландской революции","Чистозвонов","м"
"50",50,"1953","4","Передовой русский медиевист Т.Н. Грановский","Асиновская","ж"
"51",51,"1953","4","Кто такие бордарии Книги страшного суда","Барг","м"
"52",52,"1953","4","Роль королевских пожалований в процессе феодального подчинения английского крестьянства","Гуревич","м"
"53",53,"1953","4","Городское представительство в английском Парламенте конца XIII и начала XIV века","Гутнова","ж"
"54",54,"1953","4","Рабы и вольноотпущенники в вестготском государстве VI-VII веков","Корсунский","м"
"55",55,"1953","4","Из истории борьбы французского народа за национальное государство","Мосина","ж"
"56",56,"1953","4","Структура общины в Южной и Юго-западной Германии в VIII-XI веках","Неусыхин","м"
"57",57,"1953","4","Задачи советской медиевистики","Редколлегия","—"
"58",58,"1953","4","Восстание обездоленных в Сиене в 1371 г.","Рутенбург","м"
"59",59,"1953","4","О классовой сущности политических взглядов Гаррингтона","Сапрыкин","м"
"60",60,"1953","4","Пауперизм в Англии XVI века и законодательство Тюдоров по вопросу о пауперах","Семенов","м"
"61",61,"1953","4","Народные еретические движения во Франции в XI и XII веках","Сидорова","ж"
"62",62,"1953","4","Крестьянские движения в период Нидерландской революции","Чистозвонов","м"
