"doc_id","topic_1","topic_2","topic_3"
1,40,38,18
2,21,26,11
3,36,22,3
4,26,18,24
5,18,28,19
6,26,4,19
7,37,19,18
8,30,19,2
9,19,30,18
10,19,30,26
11,19,28,26
12,19,9,26
13,35,28,18
14,3,24,36
15,19,28,23
16,30,19,36
17,22,18,5
18,19,26,30
19,19,26,21
20,19,21,9
21,19,18,28
22,30,19,6
23,9,19,18
24,5,18,28
25,1,18,27
26,7,31,18
27,33,20,7
28,19,30,25
29,28,18,20
30,31,18,5
31,19,2,26
32,28,33,18
33,18,25,19
34,19,26,2
35,28,18,5
36,1,39,18
37,20,18,10
38,26,19,23
39,32,18,19
40,28,33,18
41,4,26,9
42,20,18,19
43,5,40,18
44,36,19,31
45,28,19,33
46,5,19,21
47,24,31,36
48,26,4,7
49,26,4,30
50,20,32,39
51,9,18,5
52,18,5,31
53,19,26,18
54,18,20,40
55,6,20,18
56,27,10,18
57,25,19,40
58,1,33,21
59,28,19,18
60,2,7,40
61,19,9,18
62,26,3,23
63,4,20,26
64,29,18,5
65,26,4,38
66,18,17,19
67,18,20,5
68,19,26,4
69,1,40,25
70,6,18,19
71,19,18,25
72,19,9,18
73,19,38,18
74,28,19,18
75,26,19,9
76,26,9,18
77,28,18,5
78,7,18,19
79,19,26,18
80,16,11,18
81,26,19,18
82,19,23,18
83,40,19,25
84,26,19,21
85,29,18,9
86,20,26,18
87,26,19,5
88,20,18,25
89,19,16,18
90,5,40,19
91,6,18,11
92,30,19,40
93,26,21,18
94,26,19,9
95,20,18,16
96,18,40,32
97,30,2,19
98,5,18,28
99,26,19,18
100,7,22,19
101,39,18,19
102,21,24,26
103,26,9,4
104,26,9,19
105,34,5,18
106,28,18,33
107,30,7,19
108,25,7,18
109,31,18,19
110,19,26,18
111,40,25,19
112,6,18,38
113,12,36,18
114,24,12,18
115,26,9,4
116,5,18,22
117,33,26,19
118,6,18,10
119,6,18,20
120,4,19,28
121,26,19,21
122,19,39,21
123,18,37,9
124,6,18,34
125,12,24,40
126,6,18,19
127,26,18,4
128,8,19,23
129,6,5,19
130,6,18,19
131,6,19,28
132,19,6,18
133,40,6,2
134,31,18,33
135,19,30,6
136,7,24,14
137,29,19,18
138,20,40,19
139,10,40,18
140,19,26,18
141,5,18,19
142,29,19,18
143,19,28,5
144,11,19,40
145,19,16,18
146,32,18,19
147,21,40,18
148,20,18,19
149,19,40,23
150,33,19,6
151,18,16,7
152,5,19,30
153,35,18,10
154,19,26,40
155,19,26,5
156,34,5,18
157,20,39,18
158,39,12,40
159,38,40,5
160,19,26,18
161,34,18,28
162,19,40,21
163,1,19,39
164,22,18,19
165,19,28,26
166,19,5,33
167,37,19,18
168,28,5,18
169,31,24,36
170,19,40,13
171,19,20,18
172,31,18,19
173,26,18,4
174,7,31,19
175,26,18,16
176,9,28,18
177,10,40,18
178,19,28,5
179,20,18,10
180,22,21,18
181,28,18,39
182,28,19,22
183,26,33,18
184,28,40,14
185,16,18,9
186,14,18,7
187,26,19,18
188,28,19,18
189,19,26,9
190,25,18,40
191,9,18,11
192,19,37,18
193,19,26,20
194,19,2,26
195,18,28,9
196,40,38,19
197,26,28,19
198,40,13,38
199,33,18,19
200,19,23,38
201,15,19,18
202,12,24,21
203,20,5,18
204,19,26,18
205,34,18,5
206,19,22,5
207,16,19,33
208,16,1,18
209,32,18,39
210,32,18,39
211,19,26,39
212,6,11,18
213,39,15,2
214,19,20,18
