"","term","weight","topic"
"1","торговля",0.0210483015224587,1
"2","производство",0.0167715672961005,1
"3","купец",0.0135527281121596,1
"4","рабочий",0.0126948010350772,1
"5","торговый",0.0119465338099527,1
"6","товар",0.0109531445628046,1
"7","экономический",0.00836646217250345,1
"8","цена",0.00809553783237215,1
"9","год",0.00795362508277957,1
"10","компания",0.00743757872062473,1
"11","рынок",0.00739242466393618,1
"12","страна",0.00694733467657763,1
"13","капитал",0.00666350917739246,1
"14","развитие",0.00651514584827294,1
"15","промышленность",0.0064893435301652,1
"16","труд",0.00637323309868036,1
"17","деньги",0.00517342530667035,1
"18","время",0.00512182067045487,1
"19","первый",0.00470898358073099,1
"20","половина",0.00469608242167712,1
"21","город",0.138707938935698,2
"22","городской",0.0546938253068537,2
"23","горожанин",0.0215439611205285,2
"24","население",0.0141433890307394,2
"25","средневековый",0.00925666206351354,2
"26","житель",0.00886509740267814,2
"27","центр",0.00838738851645895,2
"28","торговля",0.00722835712038615,2
"29","число",0.00680546728668392,2
"30","экономический",0.00647655297158218,2
"31","привилегия",0.00617896382934727,2
"32","развитие",0.0061084821903969,2
"33","торговый",0.00545065356019342,2
"34","данные",0.00526270252299243,2
"35","сельский",0.00524703993655901,2
"36","значительный",0.00519222088404206,2
"37","купец",0.00483198139607348,2
"38","хартия",0.00481631880964007,2
"39","группа",0.00480848751642336,2
"40","социальный",0.0046518616520892,2
"41","земля",0.0201970021772052,3
"42","коммуна",0.017635802644979,3
"43","италия",0.0128427006632414,3
"44","аренда",0.0115986894618744,3
"45","участок",0.0105986020254814,3
"46","договор",0.0102327163780205,3
"47","сельский",0.00948874889485,3
"48","год",0.00818375675223952,3
"49","виноградник",0.00808618724624995,3
"50","арендатор",0.00796422536376299,3
"51","денежный",0.00758614352805341,3
"52","рента",0.00750077021031253,3
"53","сеньор",0.00640311326792988,3
"54","часть",0.00628115138544292,3
"55","зерно",0.00593965811447943,3
"56","земельный",0.00592746192623073,3
"57","собственник",0.00587867717323595,3
"58","доход",0.00543961439628288,3
"59","округ",0.0053786334550394,3
"60","держание",0.00530545632554723,3
"61","история",0.0324825332735259,4
"62","вып",0.024701984434215,4
"63","проблема",0.0134501138050576,4
"64","век",0.0132542398482638,4
"65","культура",0.0109581617991804,4
"66","наука",0.0107949335018522,4
"67","ский",0.00884707582040236,4
"68","средний",0.00817239885811247,4
"69","редактор",0.00813975319864682,4
"70","средневековый",0.00791123358238734,4
"71","новый",0.00735625737147146,4
"72","ный",0.00733449359849437,4
"73","изд",0.00686657247948686,4
"74","доклад",0.00661628909025028,4
"75","библиография",0.00565868307925817,4
"76","эпоха",0.00499488800345682,4
"77","исторический",0.00495136045750263,4
"78","рец",0.00495136045750263,4
"79","европа",0.00490783291154844,4
"80","науча",0.00488606913857135,4
"81","церковь",0.0406931722031538,5
